"dt","aircraft_type_id","qty","qty2"
"2024-09-05 00:00:00",342,5,"791"
"2024-02-01 00:00:00",3,2,"501"
"2024-02-08 00:00:00",2,4,"127"
"2024-09-05 00:00:00",3,7,"1022"
"2024-02-15 00:00:00",2,12,"534"
"2024-02-15 00:00:00",3,2,"627"
"2024-09-12 00:00:00",342,2,"462"
"2024-09-12 00:00:00",2,14,"485"
"2024-02-22 00:00:00",342,6,"393"
"2024-02-22 00:00:00",2,13,"358"
"2024-02-22 00:00:00",3,5,"908"
"2024-02-22 00:00:00",362,2,"6"
"2024-02-29 00:00:00",2,3,"66"
"2024-02-29 00:00:00",3,3,"864"
"2024-03-07 00:00:00",342,3,"376"
"2024-03-07 00:00:00",2,16,"531"
"2024-03-07 00:00:00",3,3,"548"
"2024-03-14 00:00:00",342,1,"225"
"2024-03-14 00:00:00",2,22,"1048"
"2024-03-14 00:00:00",3,3,"333"
"2024-10-17 00:00:00",342,5,"729"
"2024-10-17 00:00:00",3,5,"604"
"2024-03-21 00:00:00",342,5,"808"
"2024-03-21 00:00:00",2,19,"1048"
"2024-03-21 00:00:00",3,2,"530"
"2024-03-21 00:00:00",362,3,"26"
"2024-03-28 00:00:00",342,6,"1284"
"2024-03-28 00:00:00",2,13,"670"
"2024-03-28 00:00:00",3,5,"716"
"2024-04-04 00:00:00",2,15,"654"
"2024-10-31 00:00:00",3,3,"632"
"2024-11-07 00:00:00",2,24,"803"
"2024-11-07 00:00:00",3,10,"1389"
"2024-11-14 00:00:00",1,1,"1"
"2024-11-14 00:00:00",2,12,"391"
"2024-11-14 00:00:00",3,6,"1065"
"2024-11-21 00:00:00",3,2,"346"
"2024-11-28 00:00:00",342,1,"487"
"2024-11-28 00:00:00",3,6,"962"
"2024-01-11 00:00:00",1,0,"0"
"2024-01-18 00:00:00",362,0,"0"
"2024-01-18 00:00:00",1,0,"0"
"2024-01-25 00:00:00",342,0,"0"
"2024-02-01 00:00:00",1,0,"0"
"2024-02-08 00:00:00",3,0,"0"
"2024-02-08 00:00:00",362,0,"0"
"2024-02-15 00:00:00",342,0,"0"
"2024-02-22 00:00:00",1,0,"0"
"2024-02-29 00:00:00",342,0,"0"
"2024-03-07 00:00:00",1,0,"0"
"2024-03-14 00:00:00",362,0,"0"
"2024-03-21 00:00:00",1,0,"0"
"2024-03-28 00:00:00",362,0,"0"
"2024-04-04 00:00:00",1,0,"0"
"2024-04-11 00:00:00",362,0,"0"
"2024-04-18 00:00:00",1,0,"0"
"2024-05-02 00:00:00",362,0,"0"
"2024-05-09 00:00:00",1,0,"0"
"2024-05-09 00:00:00",362,0,"0"
"2024-05-16 00:00:00",1,0,"0"
"2024-05-23 00:00:00",3,0,"0"
"2024-05-30 00:00:00",3,0,"0"
"2024-05-30 00:00:00",1,0,"0"
"2024-06-06 00:00:00",1,0,"0"
"2024-06-06 00:00:00",3,0,"0"
"2024-06-13 00:00:00",362,0,"0"
"2024-06-13 00:00:00",3,0,"0"
"2024-06-13 00:00:00",1,0,"0"
"2024-06-20 00:00:00",1,0,"0"
"2024-06-20 00:00:00",3,0,"0"
"2024-06-20 00:00:00",362,0,"0"
"2024-06-27 00:00:00",362,0,"0"
"2024-06-27 00:00:00",3,0,"0"
"2024-06-27 00:00:00",1,0,"0"
"2024-07-04 00:00:00",1,0,"0"
"2024-07-04 00:00:00",362,0,"0"
"2024-07-11 00:00:00",1,0,"0"
"2024-07-18 00:00:00",1,0,"0"
"2024-07-18 00:00:00",362,0,"0"
"2024-07-25 00:00:00",362,0,"0"
"2024-07-25 00:00:00",1,0,"0"
"2024-08-01 00:00:00",1,0,"0"
"2024-08-08 00:00:00",1,0,"0"
"2024-08-15 00:00:00",1,0,"0"
"2024-08-15 00:00:00",362,0,"0"
"2024-08-22 00:00:00",362,0,"0"
"2024-08-22 00:00:00",1,0,"0"
"2024-08-29 00:00:00",1,0,"0"
"2024-08-29 00:00:00",362,0,"0"
"2024-09-05 00:00:00",1,0,"0"
"2024-09-12 00:00:00",1,0,"0"
"2024-09-12 00:00:00",362,0,"0"
"2024-09-19 00:00:00",1,0,"0"
"2024-06-13 00:00:00",2,71,"2131"
"2024-06-20 00:00:00",342,7,"2294"
"2024-07-04 00:00:00",342,8,"2152"
"2024-07-18 00:00:00",2,67,"2239"
"2024-07-25 00:00:00",2,77,"2139"
"2024-08-08 00:00:00",2,58,"2227"
"2024-08-08 00:00:00",342,7,"2031"
"2024-08-22 00:00:00",342,9,"2158"
"2024-08-22 00:00:00",3,6,"1648"
"2024-10-24 00:00:00",342,4,"1643"
"2024-10-31 00:00:00",342,7,"2067"
"2024-11-07 00:00:00",342,5,"2181"
"2023-05-18 00:00:00",2,22,"1113"
"2023-05-18 00:00:00",3,8,"1866"
"2023-05-25 00:00:00",2,22,"909"
"2023-05-25 00:00:00",3,4,"15"
"2023-05-25 00:00:00",1,4,"255"
"2025-01-16 00:00:00",3,0,"0"
"2023-06-01 00:00:00",2,45,"2104"
"2023-06-01 00:00:00",3,8,"1470"
"2023-07-20 00:00:00",3,3,"647"
"2023-07-27 00:00:00",1,1,"549"
"2023-06-08 00:00:00",3,13,"520"
"2025-07-03 00:00:00",342,5,"1963"
"2023-06-08 00:00:00",2,83,"2625"
"2023-08-03 00:00:00",1,5,"83"
"2023-06-15 00:00:00",2,58,"2023"
"2023-06-15 00:00:00",3,6,"909"
"2023-08-10 00:00:00",2,74,"2527"
"2023-06-22 00:00:00",2,67,"2806"
"2023-06-22 00:00:00",1,5,"644"
"2023-06-22 00:00:00",3,3,"867"
"2023-08-17 00:00:00",2,53,NULL
"2023-06-29 00:00:00",2,68,"2108"
"2023-06-29 00:00:00",1,7,"463"
"2023-06-29 00:00:00",3,4,"139"
"2025-02-06 00:00:00",3,1,"40"
"2023-07-06 00:00:00",2,44,"1480"
"2023-07-06 00:00:00",3,4,"1091"
"2023-08-24 00:00:00",2,52,"1881"
"2023-08-31 00:00:00",3,3,"566"
"2025-01-02 00:00:00",3,0,"0"
"2025-01-09 00:00:00",342,6,"1267"
"2025-01-16 00:00:00",342,5,"1551"
"2023-07-13 00:00:00",3,3,"811"
"2023-07-13 00:00:00",2,36,"1395"
"2025-01-23 00:00:00",342,3,"1229"
"2025-01-30 00:00:00",342,3,"1030"
"2025-02-06 00:00:00",342,4,"1009"
"2023-09-07 00:00:00",3,4,"906"
"2023-09-14 00:00:00",3,4,"740"
"2023-09-21 00:00:00",342,1,"227"
"2023-09-21 00:00:00",3,3,"587"
"2023-09-28 00:00:00",342,1,"437"
"2023-09-28 00:00:00",3,1,"256"
"2023-10-05 00:00:00",342,9,"1175"
"2023-10-05 00:00:00",2,20,"752"
"2023-10-05 00:00:00",3,11,"2038"
"2023-10-12 00:00:00",3,2,"509"
"2023-10-19 00:00:00",2,19,"767"
"2023-10-26 00:00:00",342,2,"592"
"2023-11-02 00:00:00",2,7,"466"
"2023-11-09 00:00:00",342,2,"751"
"2023-11-09 00:00:00",3,11,"1990"
"2023-11-16 00:00:00",1,1,"180"
"2023-11-16 00:00:00",2,27,"1078"
"2025-02-13 00:00:00",342,1,"287"
"2023-11-23 00:00:00",2,24,"763"
"2023-11-23 00:00:00",362,5,"254"
"2023-11-30 00:00:00",342,3,"588"
